"mz","mzmin","mzmax","rt","rtmin","rtmax","into","intb","maxo","sn","sample","isotopes","adduct","pcgroup"
1450.73601386504,1450.72436523438,1450.73999023438,116.6659998,112.8149988,121.4480064,35525.3058855333,35282.3483859333,15828,150,1,"","","1"
1450.89587402344,1450.89587402344,1450.89587402344,115.5830028,112.8149988,121.4480064,67809.8766403332,67755.0981516332,21904.5,666,1,"[3][M+5]2+","","1"
1451.06465608422,1451.0595703125,1451.0673828125,115.5830028,113.7180018,121.4480064,20816.9023878,20639.8369699313,8148,90,1,"[27][M+1]+","","1"
1451.39477539062,1451.39477539062,1451.39477539062,115.5830028,111.9409992,117.9210018,93985.9922920284,93963.1859045616,36792,2628,1,"[3][M+6]2+","","1"
1451.63271582856,1451.62084960938,1451.63647460938,115.5830028,112.8149988,121.4480064,2881.02648073333,2838.13550646666,977.5,64,1,"","","1"
1451.72529194181,1451.71447753906,1451.72998046875,115.5830028,112.8149988,121.4480064,5579.80057879999,5518.88991406666,1946,45,1,"","","1"
1451.90334951845,1451.90161132812,1451.90930175781,115.5830028,112.8149988,121.4480064,13876.1208824,13783.1961478166,4662.5,114,1,"[3][M+7]2+","","1"
1452.08244754107,1452.08093261719,1452.08874511719,116.6659998,113.7180018,121.4480064,2125.2681397125,2119.40161836429,648,163,1,"","","1"
1452.3942739997,1452.38500976562,1452.40063476562,115.5830028,111.9409992,121.4480064,19439.4529722,19324.1805099,6641,194,1,"[41][M]2+","","1"
1452.89019521709,1452.88427734375,1452.89978027344,115.5830028,112.8149988,120.4030038,1558.386526875,1552.08577272321,443.5,76,1,"[41][M+1]2+","","1"
1452.95053408894,1452.94665527344,1452.95446777344,115.5830028,112.8149988,117.9210018,787.600962749998,783.345960249998,349.5,348,1,"","","1"
1453.43029785156,1453.43029785156,1453.43029785156,115.5830028,113.7180018,117.9210018,2072.4993,2069.1369,944,943,1,"[10][M]+","","1"
1453.99605375944,1453.99206542969,1453.99987792969,116.6659998,113.7180018,117.9210018,880.108200000001,876.745800000001,267.5,266,1,"","","1"
1454.20135011031,1454.19494628906,1454.20275878906,115.5830028,113.7180018,120.4030038,1405.76042057143,1400.98541914286,606,131,1,"","","1"
1454.23734708012,1454.23400878906,1454.24182128906,116.6659998,113.7180018,117.9210018,803.613600000001,800.2512,312.5,312,1,"[48][M]3+","","1"
1454.42907714844,1454.42907714844,1454.42907714844,115.5830028,113.7180018,117.9210018,1377.3231,1373.9607,634,633,1,"[10][M+1]+","","1"
1454.56794047788,1454.56176757812,1454.56982917233,116.6659998,112.8149988,121.4480064,1547.70641806666,1541.95107966666,517.5,219,1,"[48][M+1]3+","","1"
1455.0103249602,1454.99890136719,1455.01546319802,116.6659998,113.7180018,117.9210018,806.555700000001,802.773000000001,467,466,1,"","","1"
1455.15317647241,1455.14721679688,1455.16284179688,115.5830028,112.8149988,117.9210018,1822.843071,1818.5880685,606.5,606,1,"[28][M]+","","1"
1455.37386958688,1455.37365722656,1455.38146972656,115.5830028,112.8149988,117.9210018,1408.83132775,1404.57632525,563.5,562,1,"[29][M]+","","1"
1455.42822265625,1455.42822265625,1455.42822265625,115.5830028,112.8149988,117.9210018,1584.562931,1580.3079285,517,516,1,"[10][M+2]+","","1"
1455.64090056264,1455.63122558594,1455.64685058594,116.6659998,112.8149988,121.4480064,2729.94884773333,2686.4069721,935,30,1,"","","1"
1455.92408645141,1455.92016601562,1455.92797851562,115.5830028,112.8149988,121.4480064,1527.08312213333,1511.15316763333,384,26,1,"","","1"
1456.12769659976,1456.12316894531,1456.13112986932,115.5830028,112.8149988,121.4480064,2059.45192413333,2018.8904916,579,35,1,"","","1"
1456.15218409683,1456.14660644531,1456.16223144531,116.6659998,113.7180018,121.4480064,1224.239478525,1219.1494085317,377.5,68,1,"[28][M+1]+","","1"
1456.37141431176,1456.365234375,1456.373046875,115.5830028,113.7180018,121.4480064,1736.8354085625,1714.97398930313,599.5,67,1,"[29][M+1]+","","1"
1456.40004638902,1456.396484375,1456.404296875,115.5830028,113.7180018,121.4480064,2067.2931052125,2062.4618523375,641,173,1,"[49][M]3+","","1"
1456.68125636612,1456.67750866533,1456.68542480469,116.6659998,113.7180018,121.4480064,1915.5917649375,1896.43929818304,659,72,1,"","","1"
1456.73828769207,1456.73229980469,1456.74011230469,115.5830028,112.8149988,121.4480064,2171.2014114,2163.5961428,569,81,1,"[49][M+1]3+","","1"
1458.04364449891,1458.03698730469,1458.05261230469,116.6659998,112.8149988,121.4480064,1731.39763533333,1711.45949873333,653,41,1,"","","1"
1657.32602502624,1657.31774902344,1657.33435058594,115.5830028,113.7180018,117.9210018,704.002500000001,700.640100000001,249,248,1,"","","1"
1690.78887919967,1690.78430175781,1690.79272460938,115.5830028,113.7180018,117.9210018,1184.8257,1181.4633,453,452,1,"[11][M]+","","1"
1690.82852237543,1690.82540974575,1690.83458768871,115.5830028,113.7180018,120.4030038,1605.83298042857,1596.62404910204,678,66,1,"","","1"
1690.95208502008,1690.94550857149,1690.96105957031,115.5830028,113.7180018,117.9210018,1873.6974,1870.335,710.5,710,1,"[12][M]+","","1"
1690.9632301959,1690.96105363036,1690.96944436682,115.5830028,113.7180018,117.9210018,2576.8593,2573.4969,1418,1417,1,"","","1"
1691.10550472266,1691.095703125,1691.12084960938,115.5830028,113.7180018,120.4030038,2301.55068857143,2295.07032948979,889,124,1,"[16][M]+","","1"
1691.13381417707,1691.12927246094,1691.1376953125,116.6659998,113.7180018,120.4030038,2289.613185,2281.93907556122,787,92,1,"","","1"
1691.15105481381,1691.14611816406,1691.15454101562,116.6659998,113.7180018,120.4030038,2390.36571514286,2382.69160570408,974.5,114,1,"","","1"
1691.18712765341,1691.17980957031,1691.19665527344,116.6659998,113.7180018,120.4030038,2069.96311928571,2056.57606170918,610,41,1,"[23][M]2+","","1"
1691.23029513225,1691.22951107933,1691.23261840314,116.6659998,113.7180018,120.4030038,1568.58796928571,1563.81296785714,756,470,1,"","","1"
1691.45330404952,1691.44067382812,1691.46594238281,115.5830028,112.8149988,120.4030038,2976.86921156249,2971.17820781249,1013.5,228,1,"","","1"
1691.48514950479,1691.48278808594,1691.49963378906,116.6659998,112.8149988,120.4030038,3016.23198749999,2993.36634743303,1086.5,51,1,"[30][M]+","","1"
1691.52678684319,1691.52490234375,1691.53332519531,115.5830028,112.8149988,120.4030038,1677.897605625,1672.206601875,636,420,1,"[23][M+1]2+","","1"
1691.61680365255,1691.61589357658,1691.61743164062,115.5830028,112.8149988,120.4030038,3913.51357874999,3907.72094993303,1673,310,1,"[16][M+1]+","","1"
1691.65044487108,1691.64270019531,1691.65112304688,115.5830028,112.8149988,120.4030038,2650.58499656249,2641.7436157366,1025,124,1,"[31][M]+","","1"
1691.79302688307,1691.78576660156,1691.79418945312,115.5830028,112.8149988,120.4030038,3864.66579656249,3850.84478745535,1558,121,1,"[11][M+1]+","","1"
1691.79470420413,1691.7938975186,1691.80043866557,115.5830028,112.8149988,120.4030038,4254.97380374999,4241.15279464285,1558,121,1,"","","1"
1691.90034449626,1691.89526367188,1691.912109375,115.5830028,112.8149988,117.9210018,1216.0797145,1211.824712,453.5,452,1,"[43][M]2+","","1"
1691.95882622987,1691.94567871094,1691.97094726562,116.6659998,112.8149988,120.4030038,3425.98425749999,3413.99249959821,1119,100,1,"[12][M+1]+","","1"
1692.03748392336,1692.021484375,1692.04675292969,115.5830028,112.8149988,120.4030038,1602.4918059375,1590.90654830357,531.5,49,1,"","","1"
